trainNo,trainStatus
PURI-NDLS PURUSHOTTAM,Delayed by 06:25 Hrs.11-Feb 10:50
PURI-NDLS PURUSHOTTAM,Delayed by 02:20 Hrs.12-Feb 06:45
NDLS-PURI PURSHOTTAM,Delayed by 03:25 Hrs.11-Feb 08:45
NDLS-PURI PURSHOTTAM,Delayed by 02:17 Hrs.12-Feb 07:37
LKO-NDLS SHATABDI EXP.,Delayed by 30 Min.11-Feb 22:45
LKO-NDLS SHATABDI EXP.,No Delay12-Feb 22:15*
