trainNo,trainStatus
PURI-NDLS PURUSHOTTAM,Delayed by 03:20 Hrs.19-Feb 07:45
PURI-NDLS PURUSHOTTAM,Delayed by 02:05 Hrs.20-Feb 06:30
NDLS-PURI PURSHOTTAM,Delayed by 03:43 Hrs.19-Feb 09:03
NDLS-PURI PURSHOTTAM,Delayed by 05:50 Hrs.20-Feb 11:10
LKO-NDLS SHATABDI EXP.,Delayed by 13 Min.19-Feb 22:28
LKO-NDLS SHATABDI EXP.,No Delay20-Feb 22:15*
SHRAM SHKTI EXP,No Delay19-Feb 06:35
SHRAM SHKTI EXP,No Delay19-Feb 06:35
