trainNo,trainStatus
NDLS-LKO SHATABDI EXP,Delayed by 23 Min.20-Feb 13:03
HIMALAYAN QUEEN EXPRESS,Delayed by 14 Min.20-Feb 11:24
SHALIMAR EXP,No Delay20-Feb 05:25
NDLS-KLK SHATABDI EXP,Delayed by 13 Min.20-Feb 11:58
