trainNo,trainStatus
NDLS-LKO SHATABDI EXP,Delayed by 3 Min.25-Feb 06:51
HIMALAYAN QUEEN EXPRESS,No Delay25-Feb 06:46
SHALIMAR EXP,Delayed by 01:05 Hrs.25-Feb 17:35
NDLS-KLK SHATABDI EXP,No Delay25-Feb 09:04
UTTAR SMPRK KRANTI EXP,Delayed by 8 Min.25-Feb 22:08
TATA MURI -HTE - JAT EXP,No Delay25-Feb 15:42
NDLS - BPL SHATABDI EXP,No Delay25-Feb 07:34
AG KRANTI RJDHN,No Delay25-Feb 18:37
MAGADH EXPRESS,Delayed by 8 Min.25-Feb 22:23
VAISHALI EXP,No Delay25-Feb 20:40
ADI SJ RAJDHANI,No Delay25-Feb 20:31
DLI - JSM EXPRESS,Delayed by 14 Min.25-Feb 18:04
MANDOR EXPRESS,Delayed by 8 Min.25-Feb 21:51
