trainNo,trainStatus
NDLS-LKO SHATABDI EXP,Delayed by 23 Min.20-Feb 13:03
HIMALAYAN QUEEN EXPRESS,Delayed by 14 Min.20-Feb 11:24
SHALIMAR EXP,No Delay20-Feb 05:25
NDLS-KLK SHATABDI EXP,Delayed by 13 Min.20-Feb 11:58
UTTAR SMPRK KRANTI EXP,No Delay20-Feb 08:40
TATA MURI -HTE - JAT EXP,Delayed by 06:30 Hrs.21-Feb 20:40
NDLS - BPL SHATABDI EXP,Delayed by 5 Min.20-Feb 14:30
AG KRANTI RJDHN,Delayed by 15 Min.20-Feb 10:00
MAGADH EXPRESS,Delayed by 02:31 Hrs.20-Feb 17:16
VAISHALI EXP,Delayed by 02:35 Hrs.20-Feb 19:50
ADI SJ RAJDHANI,Delayed by 26 Min.20-Feb 10:06
DLI - JSM EXPRESS,Delayed by 15 Min.20-Feb 12:00
MANDOR EXPRESS,Delayed by 15 Min.20-Feb 08:15
