trainNo,trainStatus
NDLS-LKO SHATABDI EXP,Delayed by 17 Min.28-Feb 12:57
HIMALAYAN QUEEN EXPRESS,No Delay28-Feb 11:10
SHALIMAR EXP,No Delay28-Feb 05:05
NDLS-KLK SHATABDI EXP,Delayed by 11 Min.28-Feb 11:56
UTTAR SMPRK KRANTI EXP,Delayed by 5 Min.28-Feb 08:45
TATA MURI -HTE - JAT EXP,Delayed by 05:05 Hrs.28-Feb 19:15
NDLS - BPL SHATABDI EXP,No Delay28-Feb 14:24
AG KRANTI RJDHN,Delayed by 8 Min.28-Feb 09:53
MAGADH EXPRESS,Delayed by 05:22 Hrs.28-Feb 20:07
VAISHALI EXP,Delayed by 02:50 Hrs.28-Feb 20:05
ADI SJ RAJDHANI,No Delay28-Feb 09:31
DLI - JSM EXPRESS,No Delay28-Feb 11:45
MANDOR EXPRESS,Delayed by 15 Min.28-Feb 08:15
