trainNo,trainStatus
PURI-NDLS PURUSHOTTAM,Delayed by 02:06 Hrs.08-Mar 06:31
PURI-NDLS PURUSHOTTAM,Delayed by 03:17 Hrs.09-Mar 07:42
NDLS-PURI PURSHOTTAM,Delayed by 60 Min.08-Mar 06:20
NDLS-PURI PURSHOTTAM,No Delay09-Mar 05:20
LKO-NDLS SHATABDI EXP.,Delayed by 15 Min.08-Mar 22:30
LKO-NDLS SHATABDI EXP.,No Delay09-Mar 22:15*
SHRAM SHKTI EXP,No Delay08-Mar 06:35
SHRAM SHKTI EXP,No Delay08-Mar 06:35
SHRAM SHKTI EXP,Delayed by 1 Min.08-Mar 06:31
SHRAM SHKTI EXP,No Delay09-Mar 06:10
